Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
utilizar herramientas grabar vidrio,utilizar herramientas grabar vidrio,Utilizar herramientas grabar vidrio,67,Manipular y trabajar con vidrio
análisis necesidades aprendizaje,análisis necesidades aprendizaje,Análisis necesidades aprendizaje,68,Evaluar necesidades de formación profesional
supervisar calidad sonido,supervisar calidad sonido,Supervisar calidad sonido,69,Supervisar producción y calidad de audiovisual
supervisar producción sonora,supervisar producción sonora,Supervisar producción sonora,69,Supervisar producción y calidad de audiovisual
supervisar calidad vídeo,supervisar calidad vídeo,Supervisar calidad vídeo,69,Supervisar producción y calidad de audiovisual
coordinar ensayos,coordinar ensayos,Coordinar ensayos,70,Coordinar y organizar ensayos
organizar ensayos,organizar ensayos,Organizar ensayos,70,Coordinar y organizar ensayos
preparar frutas uso bebidas,preparar frutas uso bebidas,Preparar frutas uso bebidas,71,Preparar ingredientes para bebidas
preparar guarniciones bebidas,preparar guarniciones bebidas,Preparar guarniciones bebidas,71,Preparar ingredientes para bebidas
supervisar desarrollo software,supervisar desarrollo software,Supervisar desarrollo software,72,Gestionar proyectos de desarrollo de software
gestión total calidad,gestión total calidad,Gestión total calidad,73,Gestionar e implementar sistemas de calidad total
gestionar calidad,gestionar calidad,Gestionar calidad,73,Gestionar e implementar sistemas de calidad total
gestionar calidad aire,gestionar calidad aire,Gestionar calidad aire,73,Gestionar e implementar sistemas de calidad total
implementar sistemas gestión calidad,implementar sistemas gestión calidad,Implementar sistemas gestión calidad,73,Gestionar e implementar sistemas de calidad total
principios psicoterapia,aplicar principios de psicoterapia,Aplicar principios de psicoterapia,74,Aplicar tratamientos y técnicas de psicoterapia clínica
aplicar tratamiento psicológico clínico,aplicar tratamiento psicológico clínico,Aplicar tratamiento psicológico clínico,74,Aplicar tratamientos y técnicas de psicoterapia clínica
historia clínica pacientes problemas psicológicos,aplicar estudios de historia clínica pacientes problemas psicológicos,Aplicar estudios de historia clínica pacientes problemas psicológicos,74,Aplicar tratamientos y técnicas de psicoterapia clínica
tratamiento psicológico clínico,tratamiento psicológico clínico,Tratamiento psicológico clínico,74,Aplicar tratamientos y técnicas de psicoterapia clínica
medidas tratamiento psicológico,medidas tratamiento psicológico,Medidas tratamiento psicológico,74,Aplicar tratamientos y técnicas de psicoterapia clínica
llevar registros genéticos,llevar registros genéticos,Llevar registros genéticos,75,Recopilar y gestionar información genética y biológica
recabar datos biológicos,recabar datos biológicos,Recabar datos biológicos,75,Recopilar y gestionar información genética y biológica
informar hechos,informar hechos,Informar hechos,76,Comunicar información factual
productos lácteos,procesar productos lácteos,Procesar productos lácteos,77,Gestionar producción y procesamiento en explotaciones lácteas
proceso producción leche,proceso producción leche,Proceso producción leche,77,Gestionar producción y procesamiento en explotaciones lácteas
procesar productos explotaciones agrícolas,procesar productos explotaciones agrícolas,Procesar productos explotaciones agrícolas,77,Gestionar producción y procesamiento en explotaciones lácteas
procesar productos lácteos explotaciones agrícolas,procesar productos lácteos explotaciones agrícolas,Procesar productos lácteos explotaciones agrícolas,77,Gestionar producción y procesamiento en explotaciones lácteas
operar granjas lecheras,operar granjas lecheras,Operar granjas lecheras,77,Gestionar producción y procesamiento en explotaciones lácteas
recoger muestras análisis,recoger muestras análisis,Recoger muestras análisis,78,Analizar y manejar muestras para pruebas de laboratorio
analizar muestras,analizar muestras,Analizar muestras,78,Analizar y manejar muestras para pruebas de laboratorio
analizar muestras almidón,analizar muestras almidón,Analizar muestras almidón,78,Analizar y manejar muestras para pruebas de laboratorio
analizar muestras látex,analizar muestras látex,Analizar muestras látex,78,Analizar y manejar muestras para pruebas de laboratorio
analizar muestras sangre,analizar muestras sangre,Analizar muestras sangre,78,Analizar y manejar muestras para pruebas de laboratorio
manejar muestras datos,manejar muestras datos,Manejar muestras datos,78,Analizar y manejar muestras para pruebas de laboratorio
analizar muestras producción,analizar muestras producción,Analizar muestras producción,78,Analizar y manejar muestras para pruebas de laboratorio
analizar muestras productos papel,analizar muestras productos papel,Analizar muestras productos papel,78,Analizar y manejar muestras para pruebas de laboratorio
fabricación sistemas calentamiento,fabricación sistemas calentamiento,Fabricación sistemas calentamiento,79,Instalar y mantener sistemas de calefacción y refrigeración
sistemas calefacción doméstica,sistemas calefacción doméstica,Sistemas calefacción doméstica,79,Instalar y mantener sistemas de calefacción y refrigeración
sistemas calefacción eléctrica,sistemas calefacción eléctrica,Sistemas calefacción eléctrica,79,Instalar y mantener sistemas de calefacción y refrigeración
sistemas calefacción industrial,sistemas calefacción industrial,Sistemas calefacción industrial,79,Instalar y mantener sistemas de calefacción y refrigeración
sistemas refrigeración domésticos,sistemas refrigeración domésticos,Sistemas refrigeración domésticos,79,Instalar y mantener sistemas de calefacción y refrigeración
inspeccionar personal,inspeccionar personal,Inspeccionar personal,80,Supervisar rendimiento de personal
reparar equipos calentamiento,reparar equipos calentamiento,Reparar equipos calentamiento,81,Realizar reparaciones de equipos de calentamiento in situ
reparar equipos in situ,reparar equipos in situ,Reparar equipos in situ,81,Realizar reparaciones de equipos de calentamiento in situ
asesorar usuario asistencia sanitaria uso medicamentos,asesorar usuario asistencia sanitaria uso gestionar el uso y administración de medicamentos,Asesorar usuario asistencia sanitaria uso gestionar el uso y administración de medicamentos,82,Asesorar en asistencia sanitaria y administración de medicamentos
asesorar usuarios asistencia sanitaria materia salud laboral,asesorar usuarios asistencia sanitaria materia salud laboral,Asesorar usuarios asistencia sanitaria materia salud laboral,82,Asesorar en asistencia sanitaria y administración de medicamentos
trabajar usuarios asistencia sanitaria medican,trabajar usuarios asistencia sanitaria medican,Trabajar usuarios asistencia sanitaria medican,82,Asesorar en asistencia sanitaria y administración de medicamentos
dar asesoramiento atención enfermería asistencia sanitaria,dar asesoramiento atención enfermería asistencia sanitaria,Dar asesoramiento atención enfermería asistencia sanitaria,82,Asesorar en asistencia sanitaria y administración de medicamentos
software ingeniería asistida ordenador,software ingeniería asistida ordenador,Software ingeniería asistida ordenador,83,Implementar ingeniería de software asistida por ordenador
utilizar herramientas ingeniería software asistida ordenador,utilizar herramientas ingeniería software asistida ordenador,Utilizar herramientas ingeniería software asistida ordenador,83,Implementar ingeniería de software asistida por ordenador
utilizar sistemas ingeniería asistida ordenador,utilizar sistemas ingeniería asistida ordenador,Utilizar sistemas ingeniería asistida ordenador,83,Implementar ingeniería de software asistida por ordenador
ajustar equipo medición,ajustar equipo medición,Ajustar equipo medición,84,Calibrar y ajustar equipos de medición y fabricación
ajustar equipos fabricación,ajustar equipos fabricación,Ajustar equipos fabricación,84,Calibrar y ajustar equipos de medición y fabricación
ajustar máquinas medición,ajustar máquinas medición,Ajustar máquinas medición,84,Calibrar y ajustar equipos de medición y fabricación
calibrar equipos laboratorio,calibrar equipos laboratorio,Calibrar equipos laboratorio,84,Calibrar y ajustar equipos de medición y fabricación
desarrollar equipos medición,desarrollar equipos medición,Desarrollar equipos medición,84,Calibrar y ajustar equipos de medición y fabricación
ajustar termómetros,ajustar termómetros,Ajustar termómetros,84,Calibrar y ajustar equipos de medición y fabricación
desarrollar ideas creativas,desarrollar ideas creativas,Desarrollar ideas creativas,85,Fomentar la creatividad e innovación en proyectos
estimular procesos creativos,estimular procesos creativos,Estimular procesos creativos,85,Fomentar la creatividad e innovación en proyectos
buscar nuevas ideas,buscar nuevas ideas,Buscar nuevas ideas,85,Fomentar la creatividad e innovación en proyectos
desarrollar ideas promocionar ciudad,desarrollar ideas promocionar ciudad,Desarrollar ideas promocionar ciudad,85,Fomentar la creatividad e innovación en proyectos
